etiqueta,ZRC,energia,entropia,centroideE,dispersionE,entropia_1,entropia_2,entropia_3,entropia_4,entropia_5,entropia_6,entropia_7,entropia_8,entropia_9,entropia_10,entropia_11,entropia_12,entropia_13,entropia_14,entropia_15,entropia_16,entropia_17,entropia_18,entropia_19,entropia_20,entropia_21,entropia_22,entropia_23,entropia_24,entropia_25,roll_off_1,roll_off_2,roll_off_3,roll_off_4,roll_off_5,roll_off_6,roll_off_7,roll_off_8,roll_off_9,roll_off_10,roll_off_11,roll_off_12,roll_off_13,roll_off_14,roll_off_15,roll_off_16,roll_off_17,roll_off_18,roll_off_19,roll_off_20,roll_off_21,roll_off_22,roll_off_23,roll_off_24,roll_off_25,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,meann1,meann2,meann3,std1,std2,std3,pown1,pown2,pown3
pasillo,0.04873922902494331,5.000068791301167,44.072535511930376,0.00011336246151937151,835666078.881718,1.8430492793015458,1.4947242856926586,1.6706512729171603,1.3641313627065235,1.224296686352878,1.4532828891067506,1.4130216265217657,1.4487320536563382,1.733683722550627,1.1420638360819053,2.1593549552545364,1.1294101829975403,1.3333310330998562,1.422929565552867,1.56381182051173,1.5473691100101976,1.2077572884759136,1.7011649660872732,1.525699194025594,1.3780380352809969,1.3691970217305078,1.9593785576217257,1.9568747395371346,1.1663061387118008,1.2680275321144885,5986.23046875,5318.701171875,5254.1015625,8225.68359375,11283.3984375,10271.337890625,7364.35546875,4737.3046875,8161.083984375,5340.234375,11649.462890625,17721.826171875,11218.798828125,12316.9921875,18712.353515625,4285.107421875,9733.0078125,20671.875,8462.548828125,4651.171875,6416.89453125,8979.345703125,11412.59765625,10702.001953125,6718.359375,0.5547170310225635,0.47001668776588096,0.5642891139646032,0.41135354533560914,0.4115705205045551,0.32186809424915264,0.31489031825307734,0.4670142628985922,0.4152982693153448,0.4650482817169556,0.3784983855479614,0.42367810975051895,39.878016911812196,148.2518978599066,-22.097822973865156,33.47837866866933,-3.5363232085480334,17.277048551949477,-8.447564949469747,6.750127495302039,-2.8420411470988567,-0.06374271316420085,-4.715555492888672,-8.982430603914786,-3.6743195073326524,-0.00037056500901790746,-0.002607705632463811,0.004302561762182224,0.28271851964340666,0.5970565160887642,1.0086311679013573,0.12709404641231187,0.35735074748891854,0.6874317815561549
pasillo,0.03936507936507937,5.0001074931865235,43.03342609840008,0.00011108722848796965,843537778.9116951,0.6501101666151647,1.7124758061600323,1.4882047396400089,1.7223299449091671,1.112163198485217,1.0978182902894378,1.0615731340033658,2.0375971181560013,1.5656504335496582,1.3749890079326799,1.5337937252456015,1.0267812535498502,1.3542844392756592,1.6171468466820418,1.5590106766609608,2.158863217678004,1.3019501953129606,1.8084523438554645,1.2932523904816748,1.3897126212047706,2.120178346434941,1.2532458649012554,2.2089737156655915,1.4442328147314032,1.617226304784014,64.599609375,6029.296875,7019.82421875,5663.232421875,4694.23828125,3983.642578125,4134.375,4457.373046875,4974.169921875,8699.4140625,5490.966796875,5986.23046875,4651.171875,7256.689453125,5813.96484375,20262.744140625,6976.7578125,4715.771484375,6503.02734375,5318.701171875,5857.03125,6632.2265625,5512.5,6136.962890625,6007.763671875,0.3113570914874378,0.2809049031757559,0.3537478429802775,0.38682452436589265,0.5405166174198891,0.6461958362215386,0.46034050547092453,0.3814468897315693,0.30392071560229034,0.2534628972406784,0.2692670816258344,0.26034058130117127,-51.99174357650128,137.33716094487048,-45.5997509867529,58.60622737509483,25.199873204016498,-1.665874880019416,13.110995189445008,1.2824713244574275,-3.0033189007306196,-11.864986681767864,-10.513642301707039,-13.933440688527368,-9.220806597535919,0.0009609960684712347,0.0014166392467256012,-0.000627407422990301,0.301204815811323,0.704524350814429,0.8219629318489836,0.1399819005606437,0.4274469160479964,0.513146554964826
pasillo,0.07514285714285714,4.999807671716928,40.631910949674555,0.00011104814175574595,815546652.7897376,0.6501101666151647,2.645029800902688,2.321533869159683,2.2522357364947263,2.136896127724421,2.3528290022121507,2.171686611484434,2.097999478872583,2.428237214207754,1.8567707463396883,1.8557655836995983,1.148014564841987,1.6950525083154346,2.128655525186951,2.8736431198499477,2.2482002579938554,1.7969135785636738,2.1145509701080165,1.9587512711532253,2.235106946458954,2.0952270798574073,1.5254297201493863,1.1490372230224246,2.1625591651992857,1.580931116442731,64.599609375,7622.75390625,7105.95703125,7278.22265625,7773.486328125,7493.5546875,8311.81640625,7450.48828125,7730.419921875,6309.228515625,5727.83203125,5318.701171875,4737.3046875,7622.75390625,16795.8984375,18023.291015625,16580.56640625,6782.958984375,19013.818359375,19702.880859375,8074.951171875,7708.88671875,5641.69921875,7428.955078125,6955.224609375,0.4531311083134227,0.4140833625042305,0.4252069729592873,0.4876141856980911,0.5897063572373643,0.6455066115765419,0.6441999639342739,0.5990619332885391,0.48773272892996666,0.45636835566868394,0.3579139921534311,0.33315859806064513,-5.613932027156661,108.3325003043487,-52.70663435565381,66.23655711714426,13.25536358487693,12.773686257582243,14.923173029460871,6.326209931204171,12.820073459111372,-2.7468315011943094,-2.4693200710459684,-14.211966768867134,-10.28240893247764,-0.00038551304471427783,-0.0010486453482328475,0.005575135687890884,0.4166826957575423,0.9700027609476958,1.1450819035286284,0.2289440537744661,0.63890776593604,0.7399551728419885
pasillo,0.051111111111111114,4.999943304545204,49.65644264074374,0.00011201630619327864,862332492.0120219,0.6534243544950055,1.4619169236133966,1.2659492420691305,1.8979918995837104,1.3361737049442466,1.2915401908918491,1.183679281037346,1.2568136799490472,1.0960012832797608,1.1230529230485375,1.1389105568120557,2.621744988014708,1.8979875066539147,1.5341986075669276,1.974155036846132,1.1467430253065738,1.5047129596472295,1.4939156747822622,1.1231242517033735,1.4361182725286712,1.121867024290946,1.1640222293470146,1.9550801084767748,1.4925308462533038,1.6309494025519036,19358.349609375,7364.35546875,5943.1640625,6266.162109375,6158.49609375,6782.958984375,6912.158203125,6546.09375,7536.62109375,6244.62890625,6696.826171875,9560.7421875,7062.890625,7751.953125,17851.025390625,7493.5546875,8828.61328125,6847.55859375,5232.568359375,8807.080078125,8031.884765625,9603.80859375,8764.013671875,7019.82421875,7859.619140625,0.4850550837033671,0.40093473131179014,0.47208444192846494,0.33468501666543665,0.419465583809695,0.550746124404435,0.3570005387537398,0.3200933371291069,0.42453727830303895,0.6150701654875066,0.5750130145365906,0.44835263974384193,-1.3362422631684674,151.51630597416818,-33.67994787920508,58.51802588765696,-11.547020653703989,12.927331861972885,-5.079591345600705,7.1976904033863045,2.616832779773749,-5.9186561390184105,-4.9213439276108195,-9.386931988034117,1.5689654516100202,0.00039033298951367484,0.000474015038345313,0.0014457038748131052,0.24550008655871236,0.5713641008568239,0.8864082424235988,0.14161504848669043,0.3631265648385083,0.5865449983370683
pasillo,0.04692517006802721,4.999979709333467,81.76677361707965,0.00011338045991167697,875888179.7535477,1.0944514050915615,1.0232773943508309,1.0447367214198162,1.155031321735902,1.155017995129003,1.0630436051932628,1.142477909335982,1.3140811150960112,1.386116292299854,1.0692116971962449,1.4365622921984467,1.2013718994051237,1.2634188518270348,1.0948434072630788,1.1001020136345558,1.430748639861739,1.4754805312160995,1.671941429533374,1.0977104846020183,1.288662901864131,1.3398857787965308,1.3743038618301036,1.1512572441106736,1.274862636018546,1.4205832884356577,11197.265625,7816.552734375,6890.625,11714.0625,5167.96875,10594.3359375,9022.412109375,11261.865234375,7665.8203125,5211.03515625,10551.26953125,9216.2109375,9388.4765625,8828.61328125,11068.06640625,9087.01171875,11261.865234375,9194.677734375,6395.361328125,9173.14453125,8764.013671875,9216.2109375,7730.419921875,11068.06640625,9173.14453125,0.43719094687377924,0.4627364300252315,0.45223167846979034,0.6121458476898539,0.37783475239794057,0.27828979636354223,0.22535130878739087,0.3451434559996372,0.3945008780723296,0.3081834134417135,0.39082475054630794,0.32751781367476596,-8.520919067006764,154.36291219118374,-25.32777540637967,43.471645884372414,-25.589738969325662,30.46299763215161,-14.585496381802704,2.3030081938949354,-21.45979669124899,-5.47536073557107,-3.2618872163012496,-11.878058323813658,5.4429975916782425,-0.00031301996367546033,0.001081606080912227,0.002024405709624659,0.18474229389822922,0.3508956922674297,0.9053793493895763,0.11700168136016542,0.2432194468536916,0.6399607586388426
pasillo,0.066,5.000031143736881,58.82379169781981,0.00011335064156470448,859732226.40277,2.258863334093012,2.0868225787804207,2.000672090558327,1.7400389999239705,1.369190526798302,1.6780149452788953,1.4271940217695072,1.6327146348169306,1.4489826957341354,1.3858628909837525,1.6852522109545531,1.1420259544020532,1.253974380338171,1.4396241338583833,1.8800225520463147,1.594922758592533,1.6036402831155945,1.6771233634478107,1.3090161750259914,1.9281471560681696,1.11628237968465,1.500173603198069,1.5168648319365126,1.7827088223419567,1.43854332180623,10529.736328125,10379.00390625,14965.576171875,9474.609375,10142.138671875,4974.169921875,7988.818359375,7687.353515625,9819.140625,7945.751953125,9453.076171875,7213.623046875,8053.41796875,6567.626953125,8053.41796875,9087.01171875,7105.95703125,8096.484375,8807.080078125,9689.94140625,9431.54296875,8936.279296875,6869.091796875,9323.876953125,9194.677734375,0.29697445775703735,0.35307605170895967,0.4666701681445489,0.41127047366816794,0.5547386149810376,0.37640260403522074,0.40475369307268305,0.3170823921871724,0.3168034661698483,0.4292846806207173,0.3477646174181844,0.43162037403951264,-26.29155071305639,144.62720626979595,-44.99884830943146,53.968292386916815,-12.708035862970402,15.00000138223981,-2.2152277954391657,1.5510595236758629,14.71159183046546,-19.27474952274505,6.9933305851423695,-11.73925254022112,2.4085464086357926,0.001643660034949289,0.0036938729273067396,0.00218371165483314,0.22808757226324106,0.6188301729853599,1.358379766481842,0.14324380793723,0.4077743414505254,0.8554476473829227
pasillo,0.041650793650793654,5.000012640274301,64.41238710414777,0.0001133814905512954,893602249.4903206,1.1776927704297084,1.135079274993057,1.0516581328974968,1.10611435122666,1.2261589951218874,1.0565328291880154,1.4584937186905806,1.1168626577560647,1.2213826314854412,1.1969297149246496,1.3774938311326461,1.3756335450559447,1.627631744776589,1.4914345833932408,1.2163451513205852,1.2756242936878417,1.0551721147850923,1.0545457400011777,1.3562625348672739,1.1290450022833523,1.4283936101992394,1.4326649621909466,1.4209531473354402,1.128845703434194,1.330682692941075,8010.3515625,3316.11328125,8333.349609375,9776.07421875,6976.7578125,5835.498046875,7192.08984375,4414.306640625,8204.150390625,7213.623046875,5684.765625,4026.708984375,6610.693359375,4134.375,3983.642578125,6201.5625,5297.16796875,9625.341796875,6201.5625,4888.037109375,7881.15234375,6869.091796875,5512.5,8139.55078125,5254.1015625,0.3700986465305865,0.4717094922965209,0.416366375810669,0.2599768386803707,0.28944277194293605,0.20426764318624788,0.38393416143125725,0.5081483273679753,0.3493432502940407,0.2635492280610259,0.3032995274790709,0.5014800041775967,-9.179935216745932,182.99546195546637,-26.052581375607176,32.99441107352575,-14.01708061420902,31.876022457157106,-10.238982328973757,-1.144084840758572,7.8431858940628425,-12.48721205096081,-3.7450782304971084,-3.8966318966725786,-0.7006637965861835,-4.1378074619975423e-05,-0.00037809981067874604,-0.0017391961528273837,0.11892506662694992,0.4251782208987774,1.4798851732745473,0.07737669063716412,0.29786137200330387,1.0312085254928143
pasillo,0.07064399092970522,4.99981771639187,35.92599077726811,0.00011332721198260726,784225404.348162,1.089301923152177,1.2092030465464692,1.6770375139011957,1.349254765973574,2.4347600591894594,2.383875560497899,2.32404139339436,2.581536026097504,1.9784329529385432,1.9839500799485632,2.766134297616635,2.157345794335183,3.0485632846081283,2.727839363540152,2.364779108684569,2.6356295109284256,2.260479237691276,3.1081818726097934,2.5392608237286263,2.1957426207002264,2.6685912522164887,2.0037242711687098,2.4843468223155085,2.775613375214981,2.085178201244438,4349.70703125,5275.634765625,6890.625,5921.630859375,6330.76171875,4909.5703125,18238.623046875,16192.96875,6739.892578125,19530.615234375,19487.548828125,18367.822265625,15439.306640625,19745.947265625,18841.552734375,18755.419921875,8613.28125,15417.7734375,17678.759765625,7515.087890625,19530.615234375,18540.087890625,19681.34765625,19035.3515625,19056.884765625,0.383383737062635,0.28905239692121315,0.2659598428960793,0.36830295839164456,0.47489032147875876,0.387023187076692,0.5068518693396632,0.4476197286199418,0.3530414717248306,0.33243049035119865,0.4234905256574575,0.5812914805135942,111.6341123791752,97.53132767972618,-20.441962054186824,18.015502002106572,-5.3719625515821745,-3.3959013116898507,1.0266953818561746,-8.596246283957214,-3.947808497441215,-7.429039038449805,-10.386948450111547,-5.44053865199761,-6.744888018693809,-0.0017890497083888639,0.00024269980979112253,0.024512097689146337,0.5486156091470394,0.9294380353382964,1.4635449982755422,0.2791426380254641,0.5700226612101126,0.992011311481805
pasillo,0.058852607709750565,5.0000462706333835,35.796333552249045,0.0001133424850650486,782533637.3528934,2.853177937213297,2.6292889913658404,2.2772852348905688,1.695798590310591,2.248646745515841,2.6825793555681106,2.4237039269430034,1.5893681684215573,1.8633117231673588,2.24169301783508,2.250882801374836,1.9215770353756674,1.831612797560434,1.8953458495062545,2.580491553137602,2.5601671923578335,1.6599486250029054,1.7690949811371364,1.9432631924848127,2.086233794518331,2.4730897423862825,2.3329091908030075,1.6629201632111457,1.8580334854588587,1.9453889867242777,19207.6171875,18626.220703125,19552.1484375,6610.693359375,6050.830078125,18970.751953125,17851.025390625,19552.1484375,5986.23046875,18949.21875,19875.146484375,17075.830078125,14082.71484375,5361.767578125,18884.619140625,18820.01953125,19121.484375,6395.361328125,6546.09375,17851.025390625,18690.8203125,14082.71484375,18044.82421875,19186.083984375,17441.89453125,0.2863971922848296,0.3951886157765657,0.32270703210159574,0.4522543025160443,0.6013694278078155,0.41869667185534354,0.409695701994842,0.41422620894570394,0.39402229936572103,0.4507410909154894,0.37569253577563394,0.3857689846947005,124.73733989740667,102.94978725898052,-18.784354161423416,18.77282381444525,-6.121308612253484,-2.4126480313456415,2.0241445080260885,-6.3981267913487185,-3.125486398704856,-7.097275167136296,-8.790390568542014,-4.955557060721348,-3.9575885972478186,0.0026426854134964832,0.0027165485094348112,0.0028796665492725098,0.46500056811413915,0.8414741785594434,1.5005536938104347,0.22997693714424147,0.4982407881424822,1.0530081164866758
pasillo,0.01912471655328798,5.000026844950965,37.000892434981616,0.00011320425969428609,836352849.954384,1.1721270681068998,1.7238468373407032,1.5913661503814822,1.348588549922578,1.1557011197791938,1.047657679711575,1.0666075405261113,1.6244742028247476,1.4241712341062387,1.152898712391928,1.6765168512533764,1.3281860173710072,1.0332712058431368,1.0473639783427657,1.5591946882815004,1.6520889792918818,1.0135858188101041,1.0214322532524283,1.243068943858435,1.0733650795155225,1.677102154610381,1.42991368955796,1.2747040226901536,1.325062010077735,1.1141990415875775,10465.13671875,8677.880859375,18130.95703125,19616.748046875,3854.443359375,4242.041015625,5469.43359375,7192.08984375,3832.91015625,6912.158203125,4091.30859375,4328.173828125,3962.109375,7816.552734375,18367.822265625,18238.623046875,12123.193359375,18626.220703125,4909.5703125,17506.494140625,6136.962890625,4435.83984375,16106.8359375,1851.85546875,2799.31640625,0.735757532207501,0.528714606281036,0.35499570117900864,0.3156880407938729,0.344504477717379,0.36067703914681293,0.3201387478883899,0.33950358153315624,0.4277857749125303,0.5816934809557149,0.5154294400696294,0.5452290389370539,-11.605956467587514,139.53876518198837,5.510354023217724,42.577587927336246,7.7798407289690505,17.06166010659943,6.543902261431824,4.189022397483584,-0.13294909318244255,-2.653824528116007,5.054724818309258,-7.247051283521538,-6.1607119977683915,0.0004525934594207361,0.003994946259593291,-0.0014963471683194607,0.2139921372347301,0.39985683464836236,0.746002841378555,0.052637195404914516,0.13735733189126767,0.3338033888631166
